canonical_brand,name,address,latitude,longitude,confidence_score,warnings,osm_type,osm_id,source,is_duplicate,reverse_status,reverse_address,reverse_display_name,reverse_city,reverse_district,reverse_suburb,reverse_street,reverse_house_number,reverse_postcode,reverse_osm_type,reverse_osm_id,reverse_error
Лента,торговый комплекс «Лента»,"Санкт-Петербург, улица Савушкина, 119",59.9859636,30.2255323,0.0,SHOP_TAG_MISSING;DUPLICATE_CANDIDATE;REVERSE_GEOCODED,node,3071413470,osm_pbf,True,found,"Санкт-Петербург, улица Савушкина, 119","119, улица Савушкина, Северо-Приморская часть, округ № 65, Санкт-Петербург, Северо-Западный федеральный округ, 197374, Россия",Санкт-Петербург,округ № 65,Северо-Приморская часть,улица Савушкина,119,197374,way,23772815,
Пятёрочка,Пятёрочка,"Санкт-Петербург, Замшина улица, 28",59.9735656,30.3988586,0.3,DUPLICATE_CANDIDATE;REVERSE_GEOCODED,node,3347836569,osm_pbf,True,found,"Санкт-Петербург, Замшина улица, 28","Пятёрочка, 28, Замшина улица, Полюстрово, Финляндский округ, Санкт-Петербург, Северо-Западный федеральный округ, 195197, Россия",Санкт-Петербург,Финляндский округ,Полюстрово,Замшина улица,28,195197,node,3347836569,
Пятёрочка,Пятёрочка,"улица Шувалова, 3",60.0518345,30.4236435,0.3,SHOP_TAG_MISSING;DUPLICATE_CANDIDATE,node,3751518139,osm_pbf,True,skipped_existing_address,,,,,,,,,,,
Пятёрочка,ПВ-10м3,"Вырица, Коммунальный проспект",59.4130232,30.3438089,0.0,SHOP_TAG_MISSING;DUPLICATE_CANDIDATE;REVERSE_GEOCODED,node,3757443626,osm_pbf,True,found,"Вырица, Коммунальный проспект","ПВ-10м3, Коммунальный проспект, Княжеская долина, Вырица, Гатчинский муниципальный округ, Ленинградская область, Северо-Западный федеральный округ, 188380, Россия",Вырица,Гатчинский муниципальный округ,Княжеская долина,Коммунальный проспект,,188380,node,3757443626,
Пятёрочка,,"Октябрьский бульвар, 7",59.7248353,30.4065893,0.3,SHOP_TAG_MISSING;DUPLICATE_CANDIDATE,node,4336029059,osm_pbf,True,skipped_existing_address,,,,,,,,,,,
Пятёрочка,,"Пушкин, Октябрьский бульвар, 7",59.7248425,30.4065685,0.4,SHOP_TAG_MISSING;DUPLICATE_CANDIDATE,node,4336029060,osm_pbf,True,skipped_existing_address,,,,,,,,,,,
Пятёрочка,Пятёрочка,"Волосово, проспект Вингиссара, 85",59.451099,29.4859921,0.3,DUPLICATE_CANDIDATE;REVERSE_GEOCODED,node,4407796994,osm_pbf,True,found,"Волосово, проспект Вингиссара, 85","Пятёрочка, 85, проспект Вингиссара, Волосово, Волосовский район, Ленинградская область, Северо-Западный федеральный округ, 188410, Россия",Волосово,Волосовский район,,проспект Вингиссара,85,188410,node,4407796994,
Лента,Лента Кафе,"улица Руставели, 61",60.0312801,30.4341181,0.3,SHOP_TAG_MISSING;DUPLICATE_CANDIDATE,node,4495445690,osm_pbf,True,skipped_existing_address,,,,,,,,,,,
Пятёрочка,Пятёрочка,"Пушкин, Октябрьский бульвар, 7/29",59.7248448,30.4064847,0.3,DUPLICATE_CANDIDATE;REVERSE_GEOCODED,node,4718332112,osm_pbf,True,found,"Пушкин, Октябрьский бульвар, 7/29","Пятёрочка, 7/29, Октябрьский бульвар, Пушкин, Санкт-Петербург, Северо-Западный федеральный округ, 196607, Россия",Пушкин,,,Октябрьский бульвар,7/29,196607,node,4718332112,
Азбука вкуса,,"Санкт-Петербург, Московский проспект, 111",59.8890347,30.3188864,0.1,DUPLICATE_CANDIDATE;REVERSE_GEOCODED,node,4782922833,osm_pbf,True,found,"Санкт-Петербург, Московский проспект, 111","111, Московский проспект, Ближняя Рогатка, округ Московская застава, Санкт-Петербург, Северо-Западный федеральный округ, 196006, Россия",Санкт-Петербург,,Ближняя Рогатка,Московский проспект,111,196006,node,4782922833,
Лента,Экобокс,"Санкт-Петербург, Уральская улица, 29 к1",59.9566911,30.2445796,0.0,SHOP_TAG_MISSING;DUPLICATE_CANDIDATE;REVERSE_GEOCODED,node,5106084744,osm_pbf,True,found,"Санкт-Петербург, Уральская улица, 29 к1","Экобокс, 29 к1, Уральская улица, округ Остров Декабристов, Санкт-Петербург, Северо-Западный федеральный округ, 199155, Россия",Санкт-Петербург,округ Остров Декабристов,,Уральская улица,29 к1,199155,node,5106084744,
Лента,,"Мурино, улица Шувалова, 1",60.0507489,30.4228105,0.0,SHOP_TAG_MISSING;DUPLICATE_CANDIDATE;REVERSE_GEOCODED,node,5274652626,osm_pbf,True,found,"Мурино, улица Шувалова, 1","Сбербанк, 1, улица Шувалова, Западное Мурино, Западный микрорайон, Мурино, Муринское городское поселение, Всеволожский район, Ленинградская область, Северо-Западный федеральный округ, 188662, Россия",Мурино,Всеволожский район,Западное Мурино,улица Шувалова,1,188662,node,5274652626,
Лента,,"Мурино, улица Шувалова, 1",60.0507347,30.4227974,0.0,SHOP_TAG_MISSING;DUPLICATE_CANDIDATE;REVERSE_GEOCODED,node,5625789355,osm_pbf,True,found,"Мурино, улица Шувалова, 1","Сбербанк, 1, улица Шувалова, Западное Мурино, Западный микрорайон, Мурино, Муринское городское поселение, Всеволожский район, Ленинградская область, Северо-Западный федеральный округ, 188662, Россия",Мурино,Всеволожский район,Западное Мурино,улица Шувалова,1,188662,node,5625789355,
ОКЕЙ,супермаркет «О'Кей»,"Санкт-Петербург, Пулковское шоссе",59.8272362,30.3221811,0.0,SHOP_TAG_MISSING;DUPLICATE_CANDIDATE;REVERSE_GEOCODED,node,6845435209,osm_pbf,True,found,"Санкт-Петербург, Пулковское шоссе","супермаркет «О'Кей», Пулковское шоссе, Красноборская сторона, округ Пулковский меридиан, Санкт-Петербург, Северо-Западный федеральный округ, 196246, Россия",Санкт-Петербург,округ Пулковский меридиан,Красноборская сторона,Пулковское шоссе,,196246,node,6845435209,
Пятёрочка,Пятёрочка,"Ломоносов, Ораниенбаумский проспект, 39 литБ",59.8962281,29.7741129,0.3,DUPLICATE_CANDIDATE;REVERSE_GEOCODED,node,7021749585,osm_pbf,True,found,"Ломоносов, Ораниенбаумский проспект, 39 литБ","Пятёрочка, 39 литБ, Ораниенбаумский проспект, Ломоносов, Санкт-Петербург, Северо-Западный федеральный округ, 198412, Россия",Ломоносов,,,Ораниенбаумский проспект,39 литБ,198412,node,7021749585,
Лента,Лента Зоомаркет,"Санкт-Петербург, Хасанская улица, 17 к1",59.9342916,30.4970825,0.1,DUPLICATE_CANDIDATE;REVERSE_GEOCODED,node,7902830463,osm_pbf,True,found,"Санкт-Петербург, Хасанская улица, 17 к1","Лента Зоомаркет, 17 к1, Хасанская улица, округ Пороховые, Санкт-Петербург, Северо-Западный федеральный округ, 195298, Россия",Санкт-Петербург,округ Пороховые,,Хасанская улица,17 к1,195298,node,7902830463,
