canonical_brand,name,address,latitude,longitude,confidence_score,warnings,osm_type,osm_id,source,is_duplicate,reverse_status,reverse_address,reverse_display_name,reverse_city,reverse_district,reverse_suburb,reverse_street,reverse_house_number,reverse_postcode,reverse_osm_type,reverse_osm_id,reverse_error
Пятёрочка,Пятёрочка,"Санкт-Петербург, Ленинский проспект, 71 к2",59.8590975,30.1847402,0.5,REVERSE_GEOCODED,node,442269659,osm_pbf,False,found,"Санкт-Петербург, Ленинский проспект, 71 к2","Пятёрочка, 71 к2, Ленинский проспект, Южно-Приморский округ, Санкт-Петербург, Северо-Западный федеральный округ, 198328, Россия",Санкт-Петербург,,,Ленинский проспект,71 к2,198328,node,442269659,
Лента,Дом Лента,"Кудрово, проспект Строителей, с1",59.8950846,30.5185282,0.3,REVERSE_GEOCODED,node,442515596,osm_pbf,False,found,"Кудрово, проспект Строителей, с1","Дом Лента, с1, проспект Строителей, Южное Кудрово, Кудрово, Заневское городское поселение, Всеволожский район, Ленинградская область, Северо-Западный федеральный округ, 188689, Россия",Кудрово,Всеволожский район,Южное Кудрово,проспект Строителей,с1,188689,node,442515596,
Пятёрочка,Пятёрочка,"городской округ Великий Новгород, Хутынская улица, 21",58.5393452,31.3137323,0.5,REVERSE_GEOCODED,node,462080671,osm_pbf,False,found,"городской округ Великий Новгород, Хутынская улица, 21","Пятёрочка, 21, Хутынская улица, Донецкий район, городской округ Великий Новгород, Новгородская область, Северо-Западный федеральный округ, 173020, Россия",городской округ Великий Новгород,,Донецкий район,Хутынская улица,21,173020,node,462080671,
Пятёрочка,Пятёрочка,"городской округ Великий Новгород, Новгородская улица, 3",58.5800114,31.3126752,0.5,REVERSE_GEOCODED,node,475101210,osm_pbf,False,found,"городской округ Великий Новгород, Новгородская улица, 3","Пятёрочка, 3, Новгородская улица, Волховский, городской округ Великий Новгород, Новгородская область, Северо-Западный федеральный округ, 173013, Россия",городской округ Великий Новгород,,Волховский,Новгородская улица,3,173013,node,475101210,
Пятёрочка,Пятёрочка,"Санкт-Петербург, улица Доблести, 28 к1",59.8509289,30.1768481,0.5,REVERSE_GEOCODED,node,476808163,osm_pbf,False,found,"Санкт-Петербург, улица Доблести, 28 к1","Пятёрочка, 28 к1, улица Доблести, Южно-Приморский округ, Санкт-Петербург, Северо-Западный федеральный округ, 198328, Россия",Санкт-Петербург,,,улица Доблести,28 к1,198328,node,476808163,
Пятёрочка,Пятёрочка,"Кронштадт, проспект Ленина, 8",59.9988716,29.7682549,0.5,REVERSE_GEOCODED,node,483741545,osm_pbf,False,found,"Кронштадт, проспект Ленина, 8","Пятёрочка, 8, проспект Ленина, Кронштадт, Санкт-Петербург, Северо-Западный федеральный округ, 197760, Россия",Кронштадт,,,проспект Ленина,8,197760,node,483741545,
Реалъ,РеалЪ,"Санкт-Петербург, Английский проспект, 43",59.9178996,30.2893587,0.5,REVERSE_GEOCODED,node,487274925,osm_pbf,False,found,"Санкт-Петербург, Английский проспект, 43","РеалЪ, 43, Английский проспект, Коломна, округ Коломна, Санкт-Петербург, Северо-Западный федеральный округ, 190008, Россия",Санкт-Петербург,округ Коломна,Коломна,Английский проспект,43,190008,node,487274925,
Семишагофф,Семишагофф,"Колпино, улица Веры Слуцкой, 89",59.7334049,30.5771521,0.5,REVERSE_GEOCODED,node,490670904,osm_pbf,False,found,"Колпино, улица Веры Слуцкой, 89","Семишагофф, 89, улица Веры Слуцкой, Вертолёт, Колпино, Санкт-Петербург, Северо-Западный федеральный округ, 196657, Россия",Колпино,,Вертолёт,улица Веры Слуцкой,89,196657,node,490670904,
Пятёрочка,Пятёрочка,"Санкт-Петербург, Пражская улица, 26 к1",59.8727648,30.3914417,0.5,REVERSE_GEOCODED,node,522606825,osm_pbf,False,found,"Санкт-Петербург, Пражская улица, 26 к1","Пятёрочка, 26 к1, Пражская улица, Николаевский округ, Санкт-Петербург, Северо-Западный федеральный округ, 192238, Россия",Санкт-Петербург,Николаевский округ,,Пражская улица,26 к1,192238,node,522606825,
Пятёрочка,Пятёрочка,"Санкт-Петербург, Краснопутиловская улица, 96",59.8487739,30.3126445,0.5,REVERSE_GEOCODED,node,524598539,osm_pbf,False,found,"Санкт-Петербург, Краснопутиловская улица, 96","Пятёрочка, 96, Краснопутиловская улица, Предпортовая, округ Новоизмайловское, Санкт-Петербург, Северо-Западный федеральный округ, 196066, Россия",Санкт-Петербург,округ Новоизмайловское,Предпортовая,Краснопутиловская улица,96,196066,node,524598539,
