canonical_brand,name,address,latitude,longitude,confidence_score,warnings,osm_type,osm_id,source,is_duplicate
Лента,Дом Лента,,60.0900999,30.3827723,0.3,ADDRESS_MISSING,node,720732745,osm_pbf,False
Пятёрочка,торговый центр «Пятерочка»,,59.7459036,30.0916274,0.1,ADDRESS_MISSING;SHOP_TAG_MISSING,node,727776023,osm_pbf,False
ВкусВилл,ВкусВилл,,59.8324421,30.5063395,0.5,ADDRESS_MISSING,node,775650456,osm_pbf,False
Пятёрочка,Пятёрочка,,59.8329921,30.5070632,0.5,ADDRESS_MISSING,node,775657521,osm_pbf,False
ВкусВилл,ВкусВилл,,59.9304573,30.2448581,0.1,ADDRESS_MISSING;SHOP_TAG_MISSING,node,799905326,osm_pbf,False
Реалъ,РеалЪ,,59.9589439,30.3496178,0.5,ADDRESS_MISSING,node,806959127,osm_pbf,False
Пятёрочка,Пятёрочка,,61.0427824,30.1454657,0.5,ADDRESS_MISSING,node,824623316,osm_pbf,False
ВкусВилл,ВкусВилл,,59.956959,30.2289086,0.5,ADDRESS_MISSING,node,825152672,osm_pbf,False
Пятёрочка,Пятёрочка,,59.9520931,30.2166638,0.5,ADDRESS_MISSING,node,825152797,osm_pbf,False
Пятёрочка,Пятёрочка,,59.9491968,30.229477,0.5,ADDRESS_MISSING,node,825152923,osm_pbf,False
Пятёрочка,Пятёрочка,,59.9360541,30.2429516,0.5,ADDRESS_MISSING,node,842081375,osm_pbf,False
Пятёрочка,Пятёрочка,,59.9376588,30.2380163,0.5,ADDRESS_MISSING,node,842081474,osm_pbf,False
Пятёрочка,Пятёрочка,,59.9182547,30.3572146,0.5,ADDRESS_MISSING,node,849150602,osm_pbf,False
Пятёрочка,Пятёрочка,,60.0057908,30.4283023,0.5,ADDRESS_MISSING,node,873551062,osm_pbf,False
Лента,Супер Лента,,59.7404464,30.5834323,0.5,ADDRESS_MISSING,node,873561540,osm_pbf,False
Пятёрочка,Пятёрочка,,59.9976407,30.3716625,0.5,ADDRESS_MISSING,node,873657900,osm_pbf,False
Пятёрочка,Пятёрочка,,60.7073072,28.7558841,0.5,ADDRESS_MISSING,node,882393195,osm_pbf,False
Пятёрочка,Пятёрочка,,59.8382066,30.2699787,0.5,ADDRESS_MISSING,node,893147286,osm_pbf,False
Пятёрочка,Пятёрочка,,59.8350613,30.1412673,0.5,ADDRESS_MISSING,node,911837047,osm_pbf,False
Пятёрочка,Пятёрочка,,59.9149981,30.486173,0.5,ADDRESS_MISSING,node,912438463,osm_pbf,False
Пятёрочка,Пятёрочка,,59.8925148,32.3488367,0.5,ADDRESS_MISSING,node,914395838,osm_pbf,False
Пятёрочка,Пятёрочка,,59.847191,30.207579,0.5,ADDRESS_MISSING,node,914800862,osm_pbf,False
Пятёрочка,Пятёрочка,,59.810229,30.3812411,0.5,ADDRESS_MISSING,node,922439823,osm_pbf,False
Пятёрочка,Пятёрочка,,59.92667,30.3083673,0.5,ADDRESS_MISSING,node,922666754,osm_pbf,False
Реалъ,РеалЪ,,60.0348447,30.3937294,0.5,ADDRESS_MISSING,node,928206485,osm_pbf,False
Пятёрочка,Пятёрочка,,60.0212249,30.2272919,0.5,ADDRESS_MISSING,node,933650081,osm_pbf,False
Пятёрочка,Пятёрочка,,59.6192494,30.3925772,0.5,ADDRESS_MISSING,node,970796344,osm_pbf,False
Пятёрочка,Пятёрочка,,59.9221417,30.443945,0.5,ADDRESS_MISSING,node,974419887,osm_pbf,False
ВкусВилл,ВкусВилл,,59.967036,30.3134408,0.5,ADDRESS_MISSING,node,976760221,osm_pbf,False
Семишагофф,Семишагофф,,59.9535946,30.4347968,0.5,ADDRESS_MISSING,node,979100626,osm_pbf,False
Пятёрочка,Пятёрочка,,59.8423673,30.3627534,0.5,ADDRESS_MISSING,node,982779814,osm_pbf,False
Пятёрочка,Пятёрочка,,59.9424573,30.2615063,0.5,ADDRESS_MISSING,node,988594359,osm_pbf,False
Пятёрочка,Пятёрочка,,59.8456074,30.3781449,0.5,ADDRESS_MISSING,node,988719054,osm_pbf,False
Пятёрочка,Пятёрочка,,59.8099963,30.5692999,0.5,ADDRESS_MISSING,node,993707294,osm_pbf,False
Пятёрочка,Пятёрочка,,59.8548966,30.3746354,0.5,ADDRESS_MISSING,node,995137439,osm_pbf,False
ОКЕЙ,О’КЕЙ,,59.7388968,30.6228076,0.5,ADDRESS_MISSING,node,998422248,osm_pbf,False
Пятёрочка,Пятёрочка,,60.732961,33.5557634,0.5,ADDRESS_MISSING,node,1000929826,osm_pbf,False
Пятёрочка,Пятёрочка,,59.7362871,30.6175579,0.5,ADDRESS_MISSING,node,1005896697,osm_pbf,False
Пятёрочка,Пятёрочка,,60.3521575,29.440829,0.5,ADDRESS_MISSING,node,1012688843,osm_pbf,False
Пятёрочка,Пятёрочка,,59.707196,30.4157213,0.5,ADDRESS_MISSING,node,1016132787,osm_pbf,False
Пятёрочка,Пятёрочка,,60.0278607,30.2236178,0.5,ADDRESS_MISSING,node,1029386598,osm_pbf,False
Пятёрочка,Пятёрочка,,59.8988112,30.2744521,0.5,ADDRESS_MISSING,node,1034246710,osm_pbf,False
Пятёрочка,Пятёрочка,,59.9839979,30.4006162,0.5,ADDRESS_MISSING,node,1056291260,osm_pbf,False
ВкусВилл,ВкусВилл,,59.8784291,30.3190392,0.5,ADDRESS_MISSING,node,1056399186,osm_pbf,False
Пятёрочка,Пятёрочка,,59.8746664,29.8995863,0.5,ADDRESS_MISSING,node,1056742643,osm_pbf,False
Пятёрочка,Пятёрочка,,59.9884066,30.3112042,0.5,ADDRESS_MISSING,node,1057547828,osm_pbf,False
ВкусВилл,ВкусВилл,,59.9270056,30.308372,0.5,ADDRESS_MISSING,node,1083188023,osm_pbf,False
Пятёрочка,Пятёрочка,,59.9284697,30.3048304,0.5,ADDRESS_MISSING,node,1083189791,osm_pbf,False
Лента,Дом Лента,,59.9933833,30.1470525,0.3,ADDRESS_MISSING,node,1085321927,osm_pbf,False
Пятёрочка,Пятёрочка,,60.0894701,29.953784,0.5,ADDRESS_MISSING,node,1088135998,osm_pbf,False
Пятёрочка,Пятёрочка,,59.3772,28.2288243,0.5,ADDRESS_MISSING,node,1091991300,osm_pbf,False
Пятёрочка,Пятёрочка,,60.1035311,29.9758128,0.5,ADDRESS_MISSING,node,1092317197,osm_pbf,False
Семишагофф,Семишагофф,,59.86332,30.3040345,0.5,ADDRESS_MISSING,node,1095054082,osm_pbf,False
Пятёрочка,Пятёрочка,,59.944049,30.227546,0.5,ADDRESS_MISSING,node,1106419325,osm_pbf,False
Пятёрочка,Пятёрочка,,60.0149715,30.3159563,0.5,ADDRESS_MISSING,node,1108264501,osm_pbf,False
Семишагофф,Семишагофф,,59.9157367,30.3048399,0.5,ADDRESS_MISSING,node,1118534000,osm_pbf,False
Пятёрочка,Пятёрочка,,59.9249362,30.4952649,0.5,ADDRESS_MISSING,node,1126137401,osm_pbf,False
Лента,торговый комплекс «Лента»,,59.9854864,30.2264919,0.1,ADDRESS_MISSING;SHOP_TAG_MISSING,node,1126168166,osm_pbf,False
Пятёрочка,Пятёрочка,,59.9184085,30.4960431,0.5,ADDRESS_MISSING,node,1129309815,osm_pbf,False
Пятёрочка,Пятёрочка,,59.9187965,30.482377,0.5,ADDRESS_MISSING,node,1140385418,osm_pbf,False
ВкусВилл,ВкусВилл,,60.0130191,30.3241535,0.5,ADDRESS_MISSING,node,1146914628,osm_pbf,False
Пятёрочка,Пятёрочка,,60.000095,30.2479798,0.5,ADDRESS_MISSING,node,1157717818,osm_pbf,False
Пятёрочка,Пятёрочка,,59.913195,30.2772759,0.5,ADDRESS_MISSING,node,1161917581,osm_pbf,False
Семишагофф,Семишагофф,,59.8365457,30.2456021,0.5,ADDRESS_MISSING,node,1176699425,osm_pbf,False
Пятёрочка,Пятёрочка,,59.8420711,30.4897164,0.5,ADDRESS_MISSING,node,1180116697,osm_pbf,False
Пятёрочка,Пятёрочка,,59.8371577,30.5112775,0.5,ADDRESS_MISSING,node,1180134887,osm_pbf,False
Пятёрочка,Пятёрочка,,59.7503749,30.5670817,0.5,ADDRESS_MISSING,node,1188861566,osm_pbf,False
